Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),System Time,Alert Type (Audio/Text),Action,Description,
555.75,1,10,2021-05-21 14:25:43,+26.53616,-81.76318,43,0.4,181.6,+6.2,14:25:43,TEXT,HIDE,BATT VOLTS LOW,
555.75,1,10,2021-05-21 14:25:43,+26.53616,-81.76318,43,0.4,181.6,+6.2,14:25:43,AUDIO,STOP,EMS_VOLTAGE,
557.75,2,10,2021-05-21 14:25:45,+26.53615,-81.76318,28,1.8,147.3,+6.2,14:25:45,TEXT,SHOW,BATT VOLTS LOW,
557.75,2,10,2021-05-21 14:25:45,+26.53615,-81.76318,28,1.8,147.3,+6.2,14:25:45,AUDIO,PLAY,EMS_VOLTAGE,
557.75,2,10,2021-05-21 14:25:45,+26.53615,-81.76318,28,1.8,147.3,+6.2,14:25:45,AUDIO,PLAY,EMS_VOLTAGE,
558.75,2,10,2021-05-21 14:25:46,+26.53614,-81.76318,30,2.5,143.3,+6.2,14:25:46,TEXT,HIDE,BATT VOLTS LOW,
558.75,2,10,2021-05-21 14:25:46,+26.53614,-81.76318,30,2.5,143.3,+6.2,14:25:46,AUDIO,STOP,EMS_VOLTAGE,
567.75,2,10,2021-05-21 14:25:55,+26.53601,-81.76308,31,5.7,148.1,+6.2,14:25:55,TEXT,SHOW,BATT VOLTS LOW,
567.75,2,10,2021-05-21 14:25:55,+26.53601,-81.76308,31,5.7,148.1,+6.2,14:25:55,AUDIO,PLAY,EMS_VOLTAGE,
567.75,2,10,2021-05-21 14:25:55,+26.53601,-81.76308,31,5.7,148.1,+6.2,14:25:55,AUDIO,PLAY,EMS_VOLTAGE,
613.75,2,10,2021-05-21 14:26:41,+26.53482,-81.76370,37,7.3,176.6,+6.2,14:26:41,TEXT,HIDE,BATT VOLTS LOW,
613.75,2,10,2021-05-21 14:26:41,+26.53482,-81.76370,37,7.3,176.6,+6.2,14:26:41,AUDIO,STOP,EMS_VOLTAGE,
634.75,2,10,2021-05-21 14:27:02,+26.53415,-81.76330,33,7.9,144.2,+6.2,14:27:02,TEXT,SHOW,BATT VOLTS LOW,
634.75,2,10,2021-05-21 14:27:02,+26.53415,-81.76330,33,7.9,144.2,+6.2,14:27:02,AUDIO,PLAY,EMS_VOLTAGE,
634.75,2,10,2021-05-21 14:27:02,+26.53415,-81.76330,33,7.9,144.2,+6.2,14:27:02,AUDIO,PLAY,EMS_VOLTAGE,
